,school_dbn,community_school_district,city_council_district,school_level,full_time_health_teachers,f_status_health_teachers,itinerant_health_teachers,sum_of_f_status_and_itinerant,total_part_time_and_full
0,15K001,15,38,Elementary,0,0,0,0,0
1,17K002,17,40,Junior High-Intermediate-Middle,0,0,0,0,0
2,13K003,13,36,Elementary,0,0,0,0,0
3,75K004,75,42,Elementary,0,0,0,0,0
4,16K005,16,41,Elementary,0,0,0,0,0
5,17K006,17,40,Elementary,0,0,0,0,0
6,19K007,19,37,Elementary,0,0,0,0,0
7,13K008,13,33,K-8,0,0,0,0,0
8,13K009,13,35,Elementary,0,0,0,0,0
9,15K010,15,38,Elementary,0,0,0,0,0
10,13K011,13,35,Elementary,0,0,0,0,0
11,17K012,17,41,Elementary,0,0,0,0,0
12,19K013,19,42,Elementary,0,0,0,0,0
13,22K014,22,48,Junior High-Intermediate-Middle,0,0,0,0,0
14,15K015,15,38,Elementary,0,0,0,0,0
15,14K016,14,33,Elementary,0,0,0,0,0
16,14K017,14,34,Elementary,0,0,0,0,0
17,14K018,14,34,Elementary,0,0,0,0,0
18,13K020,13,35,Elementary,0,0,0,0,0
19,16K021,16,36,Elementary,0,0,0,0,0
20,14K023,14,36,Elementary,0,0,0,0,0
21,15K024,15,38,Elementary,0,0,0,0,0
22,16K025,16,36,Elementary,0,0,0,0,0
23,16K026,16,36,Elementary,0,0,0,0,0
24,16K028,16,41,Elementary,0,0,0,0,0
25,15K029,15,39,Elementary,0,0,0,0,0
26,20K030,20,43,K-8,0,0,0,0,0
27,14K031,14,33,Elementary,0,0,0,0,0
28,15K032,15,39,Elementary,0,0,0,0,0
29,14K034,14,33,Elementary,0,0,0,0,0
30,16K035,16,36,Junior High-Intermediate-Middle,0,0,0,0,0
31,75K036,75,42,K-12 All Grades,0,0,0,0,0
32,15K038,15,33,Elementary,0,0,0,0,0
33,15K039,15,39,Elementary,1,0,0,0,1
34,16K040,16,41,Elementary,0,0,0,0,0
35,23K041,23,42,K-8,0,0,0,0,0
36,13K044,13,36,Elementary,0,0,0,0,0
37,32K045,32,37,K-8,0,0,0,0,0
38,13K046,13,35,Elementary,0,0,0,0,0
39,20K048,20,44,Elementary,0,0,0,0,0
40,14K050,14,34,Junior High-Intermediate-Middle,0,0,0,0,0
41,15K051,15,39,Junior High-Intermediate-Middle,0,0,0,0,0
42,22K052,22,48,Elementary,0,0,0,0,0
43,75K053,75,38,K-12 All Grades,0,0,0,0,0
44,13K054,13,33,Elementary,0,0,0,0,0
45,13K056,13,35,Elementary,0,0,0,0,0
46,16K057,16,36,Junior High-Intermediate-Middle,0,0,0,0,0
47,15K058,15,39,Elementary,0,0,0,0,0
48,14K059,14,36,Elementary,0,0,0,0,0
49,17K061,17,40,Junior High-Intermediate-Middle,2,0,0,0,2
50,20K062,20,40,Junior High-Intermediate-Middle,0,0,0,0,0
51,19K065,19,37,Elementary,0,0,0,0,0
52,18K066,18,42,K-8,0,0,0,0,0
53,13K067,13,35,Elementary,0,0,0,0,0
54,18K068,18,46,Junior High-Intermediate-Middle,1,0,0,0,1
55,20K069,20,38,Elementary,0,0,0,0,0
56,14K071,14,33,Secondary School,0,0,0,0,0
57,32K075,32,34,Elementary,0,0,0,0,0
58,75K077,75,48,K-12 All Grades,0,0,0,0,0
59,22K078,22,46,Junior High-Intermediate-Middle,0,0,0,0,0
60,16K081,16,36,Elementary,0,0,0,0,0
61,14K084,14,34,K-8,0,0,0,0,0
62,32K086,32,37,Elementary,0,0,0,0,0
63,15K088,15,38,Junior High-Intermediate-Middle,0,0,0,0,0
64,19K089,19,37,K-8,0,0,0,0,0
65,21K090,21,47,Elementary,0,0,0,0,0
66,17K091,17,41,Elementary,0,0,0,0,0
67,17K092,17,40,Elementary,0,0,0,0,0
68,13K093,13,36,Elementary,0,0,0,0,0
69,15K094,15,38,Elementary,0,0,0,0,0
70,21K095,21,47,K-8,0,0,0,0,0
71,21K096,21,44,Junior High-Intermediate-Middle,0,0,0,0,0
72,21K097,21,47,Elementary,0,0,0,0,0
73,21K098,21,48,Junior High-Intermediate-Middle,0,0,0,0,0
74,21K099,21,44,K-8,0,0,0,0,0
75,21K100,21,48,Elementary,0,0,0,0,0
76,21K101,21,47,Elementary,0,0,0,0,0
77,20K102,20,43,Elementary,0,0,0,0,0
78,20K104,20,43,K-8,0,0,0,0,0
79,20K105,20,38,Elementary,0,0,0,0,0
80,32K106,32,37,Elementary,0,0,0,0,0
81,15K107,15,39,Elementary,0,0,0,0,0
82,19K108,19,37,Elementary,0,0,0,0,0
83,22K109,22,45,K-8,0,0,0,0,0
84,14K110,14,33,Elementary,0,0,0,0,0
85,20K112,20,43,Elementary,0,0,0,0,0
86,13K113,13,35,Junior High-Intermediate-Middle,0,0,0,0,0
87,18K114,18,46,Elementary,0,0,0,0,0
88,18K115,18,46,Elementary,0,0,0,0,0
89,32K116,32,37,Elementary,0,0,0,0,0
90,15K118,15,39,Elementary,0,0,0,0,0
91,22K119,22,45,Elementary,0,0,0,0,0
92,14K120,14,34,Elementary,0,0,0,0,0
93,21K121,21,44,K-8,0,0,0,0,0
94,17K122,17,36,High School,0,0,0,0,0
95,32K123,32,34,Elementary,0,0,0,0,0
96,15K124,15,39,Elementary,0,0,0,0,0
97,14K126,14,33,Junior High-Intermediate-Middle,0,0,0,0,0
98,20K127,20,43,Elementary,0,0,0,0,0
99,21K128,21,47,Elementary,0,0,0,0,0
100,15K130,15,39,Elementary,0,0,0,0,0
101,15K131,15,39,Elementary,0,0,0,0,0
102,14K132,14,34,Elementary,0,0,0,0,0
103,13K133,13,39,Elementary,0,0,0,0,0
104,22K134,22,44,Elementary,0,0,0,0,0
105,18K135,18,41,Elementary,0,0,0,0,0
106,15K136,15,38,Junior High-Intermediate-Middle,0,0,0,0,0
107,23K137,23,41,K-8,0,0,0,0,0
108,17K138,17,36,K-8,0,0,0,0,0
109,22K139,22,40,Elementary,0,0,0,0,0
